74901	21835	
33694	45894	
90705	71029	
60918	74755	
59207	14735	
85240	77638	
89386	1975	
73336	51755	
98101	18882	
90033	67041	
39444	29092	
32711	15562	
57884	60312	
87468	45840	
28251	28268	
16446	57087	
95242	65709	
8461	47202	
6047	25226	
8858	95805	
49822	20935	
96379	84612	
29840	54209	
49724	74871	
32876	26457	
98815	60188	
54129	80030	
55524	51287	
73078	18971	
25380	83239	
32472	59323	
13814	75360	
9619	12884	
59700	15488	
69388	86359	
18872	88528	
74603	29586	
61152	37370	
74694	86304	
22162	78978	
55383	97935	
17368	75490	
61776	31307	
36172	66789	
95269	26443	
75215	78464	
54728	75768	
22802	42184	
30291	28182	
79352	372	
77661	7984	
1907	85008	
55951	99908	
17707	29018	
8592	25256	
80349	35965	
23933	7544	
49888	98312	
60500	16158	
89827	79563	
57519	3100	
39442	52973	
62607	57656	
36567	93228	
3310	48389	
74140	74834	
7830	39978	
24783	75696	
54640	53265	
26431	10746	
76276	90318	
60611	33886	
21119	80329	
34682	2626	
4931	82059	
87373	95034	
70616	54817	
74992	11875	
58640	21168	
56455	73151	
3464	56565	
54341	49389	
4667	311	
34224	96324	
5937	15244	
27809	81964	
81300	24676	
49575	30937	
76163	10006	
39882	90373	
95807	99430	
40525	68488	
86082	5423	
95598	98838	
45744	3218	
36455	85942	
84870	86139	
98934	68635	
85615	16205	
24058	72929	
57526	17642	
73748	3621	
70005	75680	
21197	1441	
46508	46707	
17142	38819	
66381	94275	
17385	30600	
33779	92666	
20399	81562	
95987	61748	
42588	10052	
45387	84043	
38964	31982	
31608	92831	
18225	58010	
78723	31102	
47164	98521	
38779	12597	
23160	59050	
51454	59955	
97279	21008	
16880	15766	
30244	24079	
50766	67637	
14424	75043	
51933	6473	
54600	94366	
15868	19993	
78915	78524	
64152	69632	
47897	75747	
91613	77789	
24222	76700	
28458	58327	
9198	90185	
32349	38827	
60267	66914	
16846	40340	
53826	22160	
52056	26901	
58988	46341	
80369	76134	
31664	84374	
75803	20216	
89126	47031	
26611	71495	
78998	74705	
2407	21883	
71998	11330	
25669	95131	
59154	81041	
13870	52879	
47166	64972	
84457	63567	
97543	54432	
90740	11598	
95728	55252	
73077	29853	
53081	32963	
62990	49213	
36225	84	
47983	63877	
33836	38647	
7558	58347	
7039	23327	
14833	15123	
8488	3894	
42804	64722	
82875	53378	
21158	95837	
77367	83698	
61894	71955	
84200	94724	
52811	86883	
73925	35735	
9592	30428	
82713	23335	
47342	68207	
44895	21194	
49148	79523	
22054	34726	
71698	44789	
49172	17101	
44275	54313	
67879	53655	
86793	58385	
72534	73818	
44914	2553	
84055	32584	
75384	11277	
39354	38374	
21278	67784	
93746	39844	
86198	99482	
53683	26013	
61391	38100	
91734	63469	
44012	48851	
58266	18730	
39120	62183	
53765	92096	
80981	88799	
32809	8589	
40573	90163	
67137	3958	
69663	95886	
30202	17604	
33699	53302	
78479	63071	
43273	96824	
92684	5189	
50050	24405	
93876	19654	
53602	89923	
46942	52255	
27758	7905	
51258	47122	
34192	92156	
72466	65118	
44617	15991	
37803	72288	
8262	9530	
49003	50534	
77451	26521	
87668	1420	
8267	59903	
94126	5013	
97562	70872	
60579	77799	
34650	53048	
18948	96707	
35217	31275	
71081	2751	
83036	36218	
94710	42018	
67036	70487	
81273	88220	
97903	23365	
22831	41247	
38618	21894	
47718	17790	
10626	94658	
81853	33729	
64602	21777	
64872	32322	
99030	7782	
18704	76167	
75486	8729	
1111	42460	
26334	28751	
21049	58444	
89754	40807	
54798	69916	
16831	36899	
28332	52132	
9557	64209	
16393	73387	
50928	97590	
8254	54686	
53830	62870	
31751	96332	
30299	51522	
72486	53729	
5943	21406	
45288	67389	
98105	525	
85695	38769	
17158	92604	
8751	13941	
59322	83209	
2756	8808	
